Degree,Type
Master of Science Environmental Sciences,Master 
Master of Science Fabric & Apparel Science,Master 
Master of Science Fisheries,Master 
Master of Science Foods & Nutrition,Master 
Master of Science Forensic Science,Master 
Master of Science Forestry,Master 
Master of Science Genetics,Master 
Master of Science Geology,Master 
Master of Science Home Science,Master 
Master of Science Home Science (Family Resource Management),Master 
Master of Science Home Science (Food Biotechnology),Master 
Master of Science Home Science (Food Nutrition and Dietetics),Master 
Master of Science Home Science (Food Processing and Preservation),Master 
Master of Science Home Science (Human Development),Master 
Master of Science Home Science (Sports Nutrition),Master 
Master of Science Home Science (Textile & Clothing),Master 
Master of Science Home Science (Textile and Fashion Technology),Master 
Master of Science Hotel & Tourism Studies,Master 
Master of Science Industrial BioTechnology,Master 
Master of Science Industrial Polymer Chemistry,Master 
Master of Science Informatics,Master 
Master of Science Information Technology,Master 
Master of Science Inorganic Chemistry,Master 
Master of Science Inorganic Chemistry (Research),Master 
Master of Science Instrumentation,Master 
Master of Science Marine Biotechnology,Master 
Master of Science Material Science & Technology,Master 
Master of Science Mathematics,Master 
Master of Science Medical Laboratory Technology,Master 
Master of Science Microbiology,Master 
Master of Science Microbiology,Master 
Master of Science Microbiology (Research),Master 
Master of Science Nano-Biotechnology,Master 
Master of Science Nano-Technology,Master 
Master of Science NanoScience & NanoTechnology,Master 
Master of Science Nursing,Master 
Master of Science Oceanography Fisheries and Aquaculture,Master 
"Master of Science Oils, Fats & Waxes",Master 
Master of Science Operational Research,Master 
Master of Science Organic Chemistry,Master 
Master of Science Organic Chemistry (Research),Master 
Master of Science Pharmaceutical Chemistry,Master 
Master of Science Pharmacology,Master 
Master of Science Physical Chemistry,Master 
Master of Science Physics,Master 
Master of Science Physics (Electronics),Master 
Master of Science Physics (Material Science),Master 
Master of Science Physiology,Master 
Master of Science Polymer Science & Technology,Master 
Master of Science Renewable Energy (Energy Management),Master 
Master of Science Renewable Energy (Environment Modeling),Master 
Master of Science Renewable Energy (System Technology),Master 
Master of Science Statistics,Master 
Master of Science Statistics (Quality & Productivity Management),Master 
Master of Science Statistics (Quality Reliability & Operations Research),Master 
Master of Science Surface Coating Technology,Master 
Master of Science Taxonomy,Master 
Master of Science Zoology,Master 
Master of Science Zoology (Research),Master 
Master of Social Work,Master 
Master of Surgery Anatomy,Master 
Master of Surgery Ear Nose & Throat,Master 
Master of Surgery General Surgery,Master 
Master of Surgery Ophthalmology,Master 
Master of Surgery Orthopaedics,Master 
Master of Surgery Otorhinolaryngology,Master 
Master of Surgery Surgery,Master 
Master of Technology Agricultural Process & Food Engineering,Master 
Master of Technology Agriculture Engineering,Master 
Master of Technology Biotechnology,Master 
Master of Technology Computer Engineering (Information Systems),Master 
Master of Technology Computer Science & Technology,Master 
Master of Technology Electronics & Communication Engineering,Master 
Master of Technology Electronics & Communication Engineering ( Signal Processing),Master 
Master of Technology Energy Management,Master 
Master of Technology in Farm Machinery & Power,Master 
Master of Technology Information & Communication Technology,Master 
Master of Technology Instrumentation & Control Engineering (Process Control),Master 
Master of Technology Manufacturing & Automation,Master 
Master of Technology Marine Engineering Management,Master 
Master of Technology Petroleum Technology,Master 
Master of Technology Plastics Technology,Master 
Master of Technology Soil & Water Engineering,Master 
Master of Tourism Administration,Master 
Master of Tourism and Travel Management,Master 
Master of Urban Planning,Master 
Master of Veterinary Science,Master 
Post Graduate Diploma Anaesthesia,Post Graduate Diploma
Post Graduate Diploma in Advertising & Marketing Communication,Post Graduate Diploma
Post Graduate Diploma In Advertising & Media,Post Graduate Diploma
Post Graduate Diploma in Ambedkar Studies,Post Graduate Diploma
Post Graduate Diploma in Business Administration,Post Graduate Diploma
Post Graduate Diploma in Business Management,Post Graduate Diploma
Post Graduate Diploma in Child Health,Post Graduate Diploma
"Post Graduate Diploma in Clinical Studies, Data Management & Medical Writing",Post Graduate Diploma
Post Graduate Diploma in Computer Applications,Post Graduate Diploma
Post Graduate Diploma in Corporate Communication & Event Management,Post Graduate Diploma
Post Graduate Diploma in Criminal Law,Post Graduate Diploma
Post Graduate Diploma in Defence Materials,Post Graduate Diploma
Post Graduate Diploma in Dermatology & Venerology,Post Graduate Diploma
Post Graduate Diploma in Dietetics and Public Health Nutrition,Post Graduate Diploma
Post Graduate Diploma in Digital and Cyber Forensics and related Laws,Post Graduate Diploma
Post Graduate Diploma in Forensic Science and related Laws,Post Graduate Diploma
Post Graduate Diploma in Forestry Management,Post Graduate Diploma
Post Graduate Diploma in Geriatric Medicine,Post Graduate Diploma
Post Graduate Diploma in Global Business Operations,Post Graduate Diploma
Post Graduate Diploma in Health and Social Gerontology,Post Graduate Diploma
Post Graduate Diploma in Horticulture and Landscape Gardening,Post Graduate Diploma
Post Graduate Diploma in Intellectual Property Rights,Post Graduate Diploma
Post Graduate Diploma in Interior Designing & Decoration,Post Graduate Diploma
Post Graduate Diploma in International Marketing,Post Graduate Diploma
Post Graduate Diploma in Labour Law and Labour Welfare,Post Graduate Diploma
Post Graduate Diploma in Management,Post Graduate Diploma
Post Graduate Diploma in Management of Education,Post Graduate Diploma
Post Graduate Diploma in Maternal and Child Health,Post Graduate Diploma
Post Graduate Diploma in Media & Disability Communication,Post Graduate Diploma
Post Graduate Diploma in Medical Laboratory Technology,Post Graduate Diploma
Post Graduate Diploma in Medical Radio Diagnosis,Post Graduate Diploma
Post Graduate Diploma in Obstetrics and Gynaecology,Post Graduate Diploma
Post Graduate Diploma in Ophthalmology,Post Graduate Diploma
Post Graduate Diploma in Orthopaedics,Post Graduate Diploma
Post Graduate Diploma in Otorhinolaryngology,Post Graduate Diploma
Post Graduate Diploma in Pathology,Post Graduate Diploma
Post Graduate Diploma in Social Media & Web Journalism,Post Graduate Diploma
Post Graduate Diploma in Taxation Laws,Post Graduate Diploma
Post Graduate Diploma in Television & Radio Journalism / Production,Post Graduate Diploma
Post Graduate Diploma in Tuberculosis & Chest Disease,Post Graduate Diploma
Post Graduate Diploma in Yoga for Human Excellence,Post Graduate Diploma
